,iid_target,iid_neighbors
1487,3885,41511
1488,3851,9539
1489,3851,32560
1490,547,41800
1491,8263,19883
1492,15779,10579
1493,15779,10580
1494,15779,23151
1495,15779,37893
1496,22149,6143
1497,22149,18977
1498,22149,40196
1499,22149,38377
1500,30573,30609
1501,30573,17302
1502,24275,39886
1503,12675,12669
1504,21733,13103
1505,21733,46895
1506,1700,13441
1507,1700,43678
1508,1700,46235
1509,1700,43255
1510,12016,42747
1511,3589,8004
1512,3897,9198
1513,3897,2803
1514,3897,38561
1515,3911,4353
1516,3911,48350
1517,3916,8401
1518,3916,11453
1519,3916,14753
1520,3916,51999
1521,3916,44379
1522,3912,14384
1523,3903,5494
1524,3601,16825
1525,3910,38183
1526,3908,43024
1527,3906,11750
1528,3921,29435
1529,3921,26334
1530,3921,18589
1531,3904,9247
1532,2440,8034
1533,3925,28592
1534,3925,29138
1535,5705,5702
1536,3874,3407
1537,3874,7254
1538,3874,15886
1539,3874,42531
1540,13812,37525
1541,13756,21004
1542,13756,21003
1543,13756,49308
1544,13756,28961
1545,13756,37871
1546,13756,48322
1547,13756,52703
1548,18360,26335
1549,28112,19948
1550,2603,15340
1551,2603,15346
1552,15081,22031
1553,24383,45099
1554,32144,8624
1555,5117,35971
1556,6244,23378
1557,10162,42645
1558,10162,52990
1559,13587,28705
1560,521,23130
1561,1122,14682
1562,1122,51297
1563,314,15870
1564,314,35260
1565,1182,4396
1566,9259,29143
1567,11148,15708
1568,11148,2914
1569,11148,11147
1570,11148,2898
1571,14204,14333
1572,341,5525
1573,2080,246
1574,2080,10916
1575,2080,51613
1576,3272,39078
1577,8235,12814
1578,8235,13203
1579,3946,38210
1580,3946,11012
1581,3946,29462
1582,3945,3522
1583,3945,6160
1584,3945,10378
1585,3945,29461
1586,3945,40958
1587,3947,42796
1588,392,15896
1589,3944,51712
1590,6902,4207
1591,6902,8900
1592,6902,20890
1593,6902,40172
1594,10173,1375
1595,10173,3254
1596,10173,28107
1597,340,23059
1598,48250,23367
1599,3524,9615
1600,3524,17385
1601,3524,10389
1602,3524,51704
1603,6211,11757
1604,33699,18087
1605,33699,24251
1606,2916,254
1607,2916,18397
1608,2916,27941
1609,23748,14011
1610,4982,24104
1611,4086,4377
1612,7825,8394
1613,7562,23050
1614,5974,5973
1615,5974,1155
1616,5974,5971
1617,5974,19717
1618,5974,16749
1619,620,12427
1620,2477,2478
1621,1521,24127
1622,21369,4139
1623,21369,8647
1624,21369,50171
1625,1689,19098
1626,5612,10519
1627,5071,33995
1628,3785,9739
1629,3785,7830
1630,3785,9283
1631,1387,2300
1632,39129,17499
1633,6753,18688
1634,6753,14358
1635,25104,22373
1636,3514,5011
1637,3514,11845
1638,3514,18123
1639,3514,22277
1640,3514,23564
1641,8200,37723
1642,8863,45515
1643,15278,15150
1644,1381,7348
1645,1381,7347
1646,1381,25232
1647,1381,7950
1648,1381,12341
1649,343,41774
1650,1144,26709
1651,3957,8751
1652,3981,27465
1653,3975,40185
1654,3975,30085
1655,3975,22170
1656,3975,22503
1657,3975,23325
1658,3975,44324
1659,3975,45093
1660,3975,34919
1661,3975,38590
1662,3975,47363
1663,3975,39456
1664,3975,39455
1665,220,23450
1666,3972,18632
1667,958,10360
1668,958,6052
1669,958,18926
1670,958,19652
1671,958,43263
1672,3960,5626
1673,3960,15729
1674,2081,47847
1675,3969,13623
1676,3955,5211
1677,3955,10714
1678,3955,51199
1679,3955,38092
1680,3955,13052
1681,3955,43593
